Team,Shots
Savannah St,40.50
Central Mich,34.40
Citadel,34.90
Belmont,30.50
Wyoming,27.30
Lipscomb,27.10
Akron,27.80
Marshall,28.80
Arizona St,26.10
Utah Val St,27.80
Davidson,28.20
Montana St,27.80
Elon,26.60
NC-Wilmgton,26.40
Vanderbilt,26.80
IPFW,25.60
VA Military,26.40
Princeton,26.30
Nicholls St,26.50
Winthrop,25.40
St Fran (NY),24.40
S Dakota St,26.00
San Fransco,25.10
Liberty,25.60
Santa Clara,23.70
Drake,24.50
Coastal Car,26.80
Army,24.80
TX-Pan Am,24.20
Temple,25.70
Seattle,26.10
N Colorado,24.50
TX-Arlington,25.20
GA Southern,25.10
Hofstra,24.30
Iowa State,25.60
Fairfield,23.20
S Utah,25.20
Auburn,24.60
U Penn,25.00
Michigan,25.20
Canisius,23.90
Iona,25.40
Murray St,27.10
Cal Poly,24.20
N Florida,25.10
UCLA,25.10
Cornell,25.20
Fordham,23.40
Notre Dame,22.60
Marquette,24.60
NJIT,26.10
App State,24.20
Rice,23.90
N Kentucky,24.60
E Illinois,24.80
Jacksonville,23.30
Ball State,25.00
Boston U,24.80
SC Upstate,24.30
U Mass,23.90
Stetson,23.90
Nevada,24.60
Ohio,22.70
Villanova,23.60
W Illinois,22.80
Wm & Mary,23.20
Stony Brook,25.10
UMKC,23.90
San Diego,22.60
Neb Omaha,24.10
Indiana St,23.80
Wright State,23.60
Monmouth,23.70
Northeastrn,22.60
Furman,23.90
N Iowa,24.60
E Kentucky,23.60
Hartford,22.70
Wofford,23.10
La Salle,24.70
N Arizona,24.50
Maryland BC,23.60
Troy,22.40
Syracuse,22.80
St Johns,23.50
Missouri,24.70
Iowa,23.10
Illinois St,22.80
Marist,23.00
IUPUI,23.40
Indiana,22.80
Cleveland St,23.10
Buffalo,22.00
Boise State,23.60
Harvard,22.70
Richmond,21.50
TN Martin,23.80
Oregon,22.20
Maryland,21.60
TN Tech,21.60
San Diego St,22.60
Colgate,22.60
Quinnipiac,23.50
Drexel,22.80
Delaware St,22.30
Missouri St,23.50
N Hampshire,23.80
Oklahoma St,21.10
Jackson St,23.10
Maryland ES,21.90
Mississippi,23.90
NC-Grnsboro,21.60
Miss State,22.40
Kent State,20.60
Purdue,22.20
N Mex State,22.10
St Marys,21.80
Pittsburgh,22.20
Portland St,21.30
Radford,21.90
Tulane,23.50
Beth-Cook,22.20
Brown,20.70
VA Tech,21.60
Bryant,20.90
NC Central,21.10
Duke,20.10
Air Force,21.90
Lafayette,20.60
S Alabama,21.50
Coppin State,21.80
Columbia,21.40
SE Missouri,21.30
Weber State,22.60
Youngs St,22.20
Creighton,22.40
Alabama St,22.40
USC,20.20
Bucknell,22.00
Hawaii,22.20
Lamar,21.70
S Mississippi,22.50
Kansas,21.90
WI-Milwkee,21.00
Mercer,22.10
Cincinnati,21.50
Houston,22.00
LA Tech,20.60
Wisconsin,22.10
Wichita St,20.30
LA Monroe,22.70
Holy Cross,21.80
Florida,19.90
Boston Col,21.60
Toledo,22.80
Binghamton,21.60
Tulsa,21.20
E Washingtn,21.60
Lehigh,21.50
Austin Peay,20.70
Geo Wshgtn,20.50
Chicago St,21.90
Fla Atlantic,20.40
Idaho,22.90
Idaho State,20.90
Duquesne,22.40
N Dakota St,21.90
Charl South,19.80
Incarnate Word,20.40
Massachusetts Lowell,21.60
Dayton,20.80
Butler,20.90
Wake Forest,20.80
Dartmouth,19.10
W Virginia,19.40
Colorado St,19.90
Michigan St,21.80
St Peters,19.90
Navy,19.90
Chattanooga,21.00
Northwestern,19.90
Montana,21.30
Central FL,19.80
UNLV,19.50
Charlotte,20.10
Alabama,19.50
Georgia St,18.90
Colorado,21.80
Prairie View,20.40
Xavier,22.40
Washington,19.80
Penn State,20.50
Detroit,20.80
Campbell,21.00
Alcorn State,20.70
Loyola-Chi,22.00
IL-Chicago,21.20
Maine,21.60
Loyola Mymt,19.30
NC-Asheville,20.40
Oakland,17.70
Saint Louis,20.10
LA Lafayette,20.80
Mt St Marys,20.20
Clemson,19.70
F Dickinson,20.40
E Carolina,20.40
McNeese St,20.00
Niagara,19.90
St Fran (PA),20.70
Valparaiso,20.90
Kentucky,19.10
S Methodist,18.10
Illinois,19.70
TX Christian,20.10
Utah State,20.30
Bowling Grn,19.00
Miami (OH),20.50
Manhattan,20.90
S Carolina,18.50
Louisville,19.30
Samford,20.20
NC State,19.40
Grand Canyon,18.80
N Carolina,19.30
Sam Hous St,20.10
Oral Roberts,18.80
Kansas St,19.60
Yale,18.20
Hampton,19.00
E Tenn St,18.00
UC Irvine,18.90
Jksnville St,19.20
TX Southern,20.40
South Dakota,19.80
California,19.00
Providence,20.20
Delaware,20.30
North Texas,20.20
NW State,18.80
Norfolk St,19.00
Florida St,17.70
BYU,20.20
CS Fullerton,17.60
Memphis,19.40
Central Ark,19.30
James Mad,19.30
Gonzaga,18.10
Abilene Christian,19.40
Longwood,18.40
Connecticut,19.40
Ark Pine Bl,18.50
NC A&T,18.60
UCSB,18.90
W Kentucky,18.50
WI-Grn Bay,19.30
Morehead St,19.40
LSU,18.90
E Michigan,19.60
Texas,17.60
Baylor,19.50
Wash State,18.20
Sacred Hrt,17.60
UC Riverside,20.10
Utah,17.60
San Jose St,18.90
Texas A&M,17.70
Col Charlestn,18.20
Denver,18.20
Ohio State,19.10
Fla Gulf Cst,18.80
Rhode Island,18.40
Georgetown,17.90
S Car State,18.70
Bradley,17.50
Oregon St,17.90
Wagner,16.40
Lg Beach St,18.90
AR Lit Rock,17.20
SE Louisiana,18.00
Fresno St,18.50
TX-San Ant,18.40
W Carolina,20.00
CS Bakersfld,16.60
Seton Hall,17.20
Tennessee,18.90
Morgan St,17.40
Ste F Austin,18.30
Arkansas St,17.70
St Bonavent,18.40
Texas Tech,18.80
Oklahoma,17.10
Arkansas,16.50
Texas State,18.10
Nebraska,18.00
Minnesota,16.40
Miami (FL),18.80
Virginia,17.10
North Dakota,17.90
Houston Bap,18.30
Florida Intl,18.40
Florida A&M,17.30
American,18.20
DePaul,17.10
UAB,16.90
UC Davis,17.60
VCU,15.50
Rob Morris,17.60
Middle Tenn,16.40
St Josephs,17.20
W Michigan,17.90
Presbyterian,17.80
Howard,16.60
Vermont,16.90
Grambling St,17.10
S Illinois,16.90
Portland,17.40
Arizona,16.80
TN State,16.90
Pacific,15.80
S Florida,17.50
Siena,16.60
High Point,17.00
Gard-Webb,16.40
LIU-Brooklyn,17.40
Sac State,14.70
Rider,15.10
SIU Edward,15.60
TX El Paso,15.40
TX A&M-CC,16.30
Stanford,15.80
Loyola-MD,16.30
Miss Val St,16.10
Geo Mason,15.50
Old Dominion,14.90
Georgia,14.90
Kennesaw St,15.10
Alab A&M,16.30
Pepperdine,15.40
N Illinois,15.40
Southern,14.70
Towson,15.80
Rutgers,14.40
Albany,15.10
Central Conn,14.00
New Mexico,14.80
Cal St Nrdge,13.90
New Orleans,13.60
GA Tech,15.30
Evansville,10.40
