Team,Shots
Mississippi,24.10
Kentucky,25.20
Towson,24.70
Auburn,21.40
Cal St Nrdge,26.00
SIU Edward,24.40
TX Southern,25.40
LA Lafayette,25.80
BYU,23.20
South Dakota,23.90
Tennessee,20.20
Gard-Webb,23.70
New Mexico,22.10
N Mex State,23.50
Neb Omaha,22.30
Nevada,24.10
St Bonavent,23.60
Brown,23.40
Rice,24.80
Incarnate Word,22.70
S Utah,24.70
Grand Canyon,24.00
E Tenn St,23.90
Lipscomb,24.30
Evansville,21.80
WI-Grn Bay,22.80
W Virginia,22.20
Southern,22.70
Portland St,23.70
Wichita St,21.10
Dayton,25.50
Samford,22.80
Florida,24.50
Wake Forest,22.80
Minnesota,18.20
Howard,23.80
Monmouth,23.10
Marshall,21.20
NW State,23.40
S Carolina,22.30
N Illinois,23.10
New Orleans,21.30
Arkansas,23.90
Weber State,22.50
Oklahoma St,21.80
St Josephs,21.30
Siena,22.90
Austin Peay,20.90
Xavier,23.20
Georgetown,21.40
Boise State,21.00
Troy,21.60
Manhattan,21.00
Florida St,20.90
CS Fullerton,24.40
Wyoming,21.80
Georgia,21.90
Arkansas St,22.00
Col Charlestn,19.60
Coppin State,21.00
Fresno St,21.10
Geo Mason,21.10
Idaho,22.10
Central Mich,22.40
GA Southern,21.90
Rhode Island,22.00
Missouri,20.60
UC Davis,21.70
IL-Chicago,22.60
Lamar,23.30
Winthrop,23.20
Rider,21.90
Utah Val St,21.60
Rob Morris,22.80
Citadel,20.20
Buffalo,22.40
Houston Bap,20.10
Savannah St,20.30
Colorado,19.80
Arizona,22.20
Duke,22.20
Toledo,20.90
S Dakota St,21.20
Morgan St,20.20
UMKC,21.10
Hofstra,23.90
Oakland,21.10
Gonzaga,22.20
Alabama,20.90
Tulsa,21.80
VA Tech,21.30
Kansas,19.80
Florida A&M,21.10
Wm & Mary,20.20
USC,22.90
TN Tech,22.60
Montana St,20.20
LIU-Brooklyn,21.90
Seton Hall,22.70
UNLV,24.10
S Alabama,20.20
N Dakota St,18.80
TN State,21.60
Chattanooga,20.70
Oklahoma,20.30
Iowa,16.50
Ste F Austin,22.30
Memphis,20.00
Grambling St,20.70
Kansas St,20.10
Colorado St,19.90
Bradley,21.80
Bowling Grn,19.70
St Johns,22.30
Detroit,21.70
Loyola-MD,21.60
N Carolina,18.40
Pittsburgh,19.80
App State,20.20
Sam Hous St,19.10
Norfolk St,20.00
Wright State,18.20
North Dakota,20.40
TX A&M-CC,18.60
Lg Beach St,20.70
Murray St,20.70
E Michigan,19.40
TX-San Ant,21.00
NC State,18.70
Central Ark,20.50
Maryland,20.70
Valparaiso,20.30
CS Bakersfld,20.60
Quinnipiac,20.20
N Kentucky,20.90
Louisville,21.00
La Salle,22.50
Duquesne,18.60
Ohio State,18.90
Stanford,19.80
Maryland BC,20.40
VCU,20.90
Alab A&M,18.90
Air Force,18.30
Sac State,20.90
Ball State,19.90
Central FL,19.10
Idaho State,19.40
TX-Arlington,20.40
E Kentucky,19.40
Kent State,21.30
San Jose St,20.10
Providence,20.30
Miami (OH),18.50
Bucknell,19.70
TX-Pan Am,19.80
Charl South,21.60
Nicholls St,18.30
W Michigan,15.90
Niagara,21.20
California,19.30
