Team,Shots
Akron,19.40
Marist,19.60
Geo Wshgtn,18.60
UAB,19.40
Sacred Hrt,20.50
W Kentucky,18.70
Tulane,18.90
Northeastrn,19.20
E Washingtn,17.10
SE Louisiana,17.80
N Florida,20.50
Alabama St,17.90
F Dickinson,20.90
Clemson,18.40
North Texas,18.80
E Carolina,18.20
S Methodist,18.50
Charlotte,18.90
Miss Val St,18.40
U Mass,20.90
IUPUI,20.40
Butler,19.40
Stetson,20.60
NC-Asheville,18.80
LA Tech,20.10
Pacific,19.60
Indiana,18.70
Hawaii,18.00
SE Missouri,19.40
Campbell,19.40
Hampton,21.30
Portland,18.20
San Diego St,19.10
DePaul,18.60
Ohio,17.90
S Illinois,17.80
Oregon,19.20
Purdue,18.50
NC Central,20.10
McNeese St,19.90
Syracuse,18.80
GA Tech,15.60
High Point,18.90
TN Martin,17.80
Penn State,18.00
Arizona St,18.20
Texas Tech,14.30
Texas State,18.50
Prairie View,19.30
Fla Gulf Cst,19.10
Jacksonville,19.70
N Arizona,17.70
Bryant,17.30
Miss State,18.70
N Colorado,18.70
Wagner,22.10
SC Upstate,20.40
NJIT,17.70
Stony Brook,17.40
TX El Paso,18.10
Navy,18.60
Seattle,15.60
Drexel,19.30
NC-Wilmgton,20.10
Utah State,16.70
Denver,16.80
Old Dominion,18.30
Washington,18.30
Montana,18.10
Jackson St,16.90
Missouri St,17.20
Cincinnati,17.90
LSU,20.10
Texas,17.10
Boston U,18.60
Canisius,18.90
Maryland ES,17.10
Utah,18.50
Iona,18.30
Georgia St,19.80
Yale,19.40
St Fran (NY),18.90
Villanova,18.90
Vermont,20.20
Wisconsin,15.80
Baylor,18.10
Alcorn State,17.20
Vanderbilt,14.80
TX Christian,16.40
James Mad,18.80
Connecticut,19.60
Texas A&M,15.30
Miami (FL),16.60
Illinois,17.70
Albany,16.80
San Diego,18.40
Michigan St,14.60
Wofford,16.40
Rutgers,17.80
Nebraska,15.50
Abilene Christian,17.30
Fla Atlantic,19.60
Massachusetts Lowell,19.80
Oral Roberts,15.40
Marquette,16.60
Central Conn,17.80
Kennesaw St,18.10
Richmond,14.30
Davidson,16.80
Dartmouth,18.30
Indiana St,17.80
N Hampshire,15.80
Jksnville St,17.10
Hartford,18.70
Saint Louis,12.70
Mt St Marys,17.70
St Fran (PA),17.10
Elon,14.30
Furman,17.60
Delaware,16.50
Mercer,16.70
NC A&T,17.70
Oregon St,15.40
Loyola Mymt,18.20
Harvard,17.40
S Car State,15.80
Morehead St,14.90
Northwestern,16.80
Lehigh,17.60
NC-Grnsboro,16.30
Beth-Cook,18.40
N Iowa,15.20
Colgate,17.70
AR Lit Rock,17.80
Ark Pine Bl,16.90
Liberty,18.00
Drake,15.50
Cleveland St,17.40
Coastal Car,15.40
UCLA,16.50
St Peters,17.60
Boston Col,16.70
Iowa State,17.90
Columbia,17.60
Delaware St,17.60
VA Military,16.90
Belmont,16.70
S Florida,12.50
Pepperdine,16.20
Illinois St,15.70
UC Irvine,16.80
Maine,16.50
E Illinois,16.20
Cal Poly,16.90
Middle Tenn,18.40
Houston,13.80
UCSB,17.60
UC Riverside,15.50
Binghamton,16.20
Notre Dame,15.80
Creighton,14.50
Michigan,16.50
W Illinois,15.80
Holy Cross,14.40
Cornell,16.60
Loyola-Chi,16.80
Fairfield,19.50
IPFW,17.50
Youngs St,16.60
Chicago St,14.50
Army,17.50
Radford,15.70
Florida Intl,16.00
S Mississippi,14.20
Lafayette,16.00
Longwood,15.10
San Fransco,15.40
W Carolina,14.60
Temple,14.90
American,16.00
Wash State,15.20
LA Monroe,12.80
U Penn,14.00
Presbyterian,13.90
Fordham,15.50
WI-Milwkee,13.60
St Marys,13.00
Princeton,13.50
Virginia,13.80
Santa Clara,13.20
