Team,Shooting
Morgan St,0.3010
Rhode Island,0.2850
NC Central,0.2840
Duke,0.3090
S Carolina,0.3410
Rob Morris,0.2870
Gonzaga,0.3020
N Mex State,0.2440
Alcorn State,0.3120
St Marys,0.3000
Minnesota,0.2810
Arizona,0.3240
Nevada,0.3040
Florida,0.3000
Colorado St,0.2840
Louisville,0.2830
Wichita St,0.2980
Kentucky,0.2950
Col Charlestn,0.3260
Central FL,0.3200
Oregon,0.3290
Harvard,0.3400
New Orleans,0.3350
Villanova,0.3070
Virginia,0.3270
Fla Gulf Cst,0.3390
Baylor,0.3530
Miss State,0.3080
Richmond,0.3090
Seattle,0.3340
Oakland,0.3320
Illinois St,0.3160
Furman,0.3410
Winthrop,0.2890
TX-Arlington,0.3220
Belmont,0.3220
UC Irvine,0.3550
Arkansas St,0.3140
CS Bakersfld,0.3430
Ohio,0.3260
Wyoming,0.3190
Toledo,0.3440
San Diego St,0.3180
St Peters,0.3180
Elon,0.3040
BYU,0.3730
Purdue,0.3190
Georgia St,0.3250
TX Southern,0.3440
Dayton,0.3450
Southern,0.3390
Middle Tenn,0.3340
Georgetown,0.3360
California,0.3520
Valparaiso,0.3490
Grand Canyon,0.3320
E Carolina,0.3500
Texas,0.3560
Ark Pine Bl,0.3190
Savannah St,0.3300
Houston,0.3470
Providence,0.3400
S Methodist,0.3430
Geo Mason,0.3220
Fairfield,0.3190
UC Davis,0.3410
Lamar,0.3370
Rutgers,0.3280
N Kentucky,0.3350
Yale,0.3070
Connecticut,0.3420
Miami (FL),0.3620
Georgia,0.3260
Alabama,0.3190
Monmouth,0.3330
SC Upstate,0.3500
Jackson St,0.3380
Arkansas,0.3190
Texas State,0.3520
N Hampshire,0.3480
SIU Edward,0.3450
Creighton,0.3140
Butler,0.3220
Fresno St,0.3550
Cincinnati,0.2880
San Fransco,0.3440
Wagner,0.3070
Coastal Car,0.3510
Northwestern,0.3610
VCU,0.3670
Bryant,0.3210
Incarnate Word,0.3030
Indiana,0.3690
Samford,0.3080
Vanderbilt,0.3350
Beth-Cook,0.3560
Old Dominion,0.3200
Troy,0.3500
GA Tech,0.3850
Notre Dame,0.3590
NC-Wilmgton,0.3380
Rider,0.3070
Memphis,0.3810
Army,0.3420
Xavier,0.3460
Hawaii,0.3190
Utah Val St,0.3380
N Arizona,0.3240
Siena,0.3480
Loyola-MD,0.3360
E Michigan,0.3400
Seton Hall,0.3370
TX El Paso,0.3510
Maryland,0.3160
Bucknell,0.3680
Syracuse,0.4120
Boise State,0.3150
Wofford,0.3370
UAB,0.3600
N Carolina,0.3840
GA Southern,0.3270
Holy Cross,0.3580
UMKC,0.3710
Towson,0.3260
TX A&M-CC,0.3640
San Jose St,0.3690
Temple,0.3590
Norfolk St,0.3560
Missouri,0.3810
F Dickinson,0.3620
UCSB,0.3720
Florida St,0.3700
Rice,0.3380
Mt St Marys,0.3300
S Car State,0.3410
U Mass,0.3750
Alabama St,0.3350
Vermont,0.3440
Utah State,0.3830
Illinois,0.3560
Montana,0.3330
SE Louisiana,0.3610
Youngs St,0.3530
North Texas,0.3370
Canisius,0.3820
Albany,0.3480
Ste F Austin,0.3580
Maryland BC,0.3520
Marshall,0.3770
Princeton,0.3600
James Mad,0.3370
Bradley,0.3670
Michigan St,0.3390
Sam Hous St,0.3470
Delaware St,0.3460
CS Fullerton,0.3330
LA Tech,0.3560
Liberty,0.3400
TN Martin,0.3420
Wright State,0.3600
North Dakota,0.3240
TX-San Ant,0.3620
Miami (OH),0.3850
Lehigh,0.3400
Iowa State,0.3580
N Illinois,0.3300
St Josephs,0.3610
Evansville,0.3680
W Virginia,0.3540
N Colorado,0.3400
Kent State,0.3450
TN Tech,0.3500
Missouri St,0.3570
NC-Asheville,0.3600
TN State,0.3230
Dartmouth,0.3640
McNeese St,0.3730
Buffalo,0.3720
Central Mich,0.3380
UC Riverside,0.3750
Texas A&M,0.3710
Bowling Grn,0.3300
Mercer,0.3510
Chattanooga,0.3200
St Bonavent,0.3280
Idaho,0.3760
Cleveland St,0.3680
Campbell,0.3110
LIU-Brooklyn,0.3560
Boston Col,0.3610
Wash State,0.3710
Oklahoma St,0.3660
LA Monroe,0.3330
Iowa,0.3830
Texas Tech,0.3200
Tennessee,0.3450
Houston Bap,0.3680
Geo Wshgtn,0.3850
Pittsburgh,0.3570
E Tenn St,0.3080
Cornell,0.3570
Stetson,0.3440
Gard-Webb,0.3680
Hampton,0.3690
Saint Louis,0.3320
WI-Grn Bay,0.3430
Coppin State,0.3590
Ohio State,0.3660
Clemson,0.3700
Auburn,0.3780
Pacific,0.4010
Oregon St,0.3810
Kansas,0.3420
Wake Forest,0.3800
Ball State,0.3550
Binghamton,0.3690
Charlotte,0.3830
Navy,0.3520
Denver,0.3410
Maryland ES,0.3610
Duquesne,0.3640
E Illinois,0.3330
TX Christian,0.3720
Radford,0.3570
Tulsa,0.3580
Weber State,0.3860
Murray St,0.3620
W Carolina,0.3500
Lipscomb,0.3470
Howard,0.3630
U Penn,0.3170
Drexel,0.3870
Iona,0.3520
VA Tech,0.3790
Columbia,0.3620
Utah,0.3620
Loyola Mymt,0.3970
WI-Milwkee,0.3570
Fordham,0.3780
DePaul,0.3600
St Fran (NY),0.3630
Abilene Christian,0.3760
Wm & Mary,0.3560
Florida A&M,0.3640
NC-Grnsboro,0.3910
E Kentucky,0.3820
S Alabama,0.3660
W Michigan,0.3590
Chicago St,0.3670
Prairie View,0.3740
UCLA,0.3650
AR Lit Rock,0.3670
Florida Intl,0.3460
Colorado,0.3940
Portland,0.3740
San Diego,0.3520
Akron,0.3620
Maine,0.3420
Penn State,0.3570
Northeastrn,0.3850
Alab A&M,0.3760
Arizona St,0.3850
Oklahoma,0.3860
USC,0.3720
Boston U,0.3780
IUPUI,0.3700
Niagara,0.3670
N Florida,0.3800
Air Force,0.3510
High Point,0.3950
Mississippi,0.3880
American,0.3550
Drake,0.3690
N Iowa,0.3710
W Kentucky,0.3550
New Mexico,0.3690
IL-Chicago,0.3840
Hofstra,0.3790
Marquette,0.3970
NC State,0.3810
SE Missouri,0.3810
St Fran (PA),0.3850
Fla Atlantic,0.3610
Massachusetts Lowell,0.3930
Neb Omaha,0.3570
Delaware,0.3920
Austin Peay,0.3550
TX-Pan Am,0.3660
E Washingtn,0.3510
LA Lafayette,0.3760
Portland St,0.3980
Montana St,0.3490
S Dakota St,0.3900
South Dakota,0.3870
Loyola-Chi,0.3880
Charl South,0.3500
Indiana St,0.3430
Kennesaw St,0.3770
S Mississippi,0.3860
Brown,0.3830
St Johns,0.3990
Jacksonville,0.3690
Wisconsin,0.3920
Colgate,0.3710
Marist,0.3940
Michigan,0.3910
Stony Brook,0.3770
Detroit,0.3480
UNLV,0.4250
N Dakota St,0.3770
Grambling St,0.3990
NW State,0.3740
Sacred Hrt,0.3710
Lg Beach St,0.3780
Jksnville St,0.3780
Quinnipiac,0.3790
Central Conn,0.3970
Santa Clara,0.3930
Miss Val St,0.3920
Davidson,0.3920
Tulane,0.3680
NC A&T,0.3870
LSU,0.3940
Kansas St,0.3910
Cal St Nrdge,0.4010
Lafayette,0.3710
NJIT,0.3920
Sac State,0.3790
Hartford,0.4060
Stanford,0.3930
Citadel,0.3680
App State,0.3870
Manhattan,0.3890
Central Ark,0.3950
La Salle,0.4050
IPFW,0.4190
S Illinois,0.3710
Presbyterian,0.3930
Oral Roberts,0.4240
S Florida,0.4260
Cal Poly,0.3900
Idaho State,0.3820
Washington,0.3760
Longwood,0.3770
Morehead St,0.4160
S Utah,0.4100
Nebraska,0.4170
VA Military,0.3920
W Illinois,0.4000
Nicholls St,0.4490
Pepperdine,0.4550
