Team,Shots
Cal Poly,14.80
St Marys,15.50
St Fran (NY),14.80
Weber State,14.70
Michigan,15.80
American,17.70
Mt St Marys,15.30
Rhode Island,16.40
Chattanooga,16.70
Incarnate Word,17.00
NC-Wilmgton,16.00
Vermont,16.60
Rob Morris,17.10
App State,17.10
Boise State,17.40
Santa Clara,17.20
VCU,17.90
Duke,17.20
Fla Atlantic,17.10
TX Southern,17.30
Lamar,17.00
Loyola-MD,18.10
Cal St Nrdge,17.30
Ste F Austin,17.20
San Jose St,18.60
SIU Edward,18.60
S Carolina,16.40
Jackson St,18.60
Manhattan,17.70
Wisconsin,16.80
Loyola-Chi,17.10
Hawaii,16.50
Prairie View,18.10
California,18.00
Indiana St,17.00
Florida,18.50
Bucknell,18.60
Alcorn State,18.70
Montana,18.80
Kennesaw St,17.50
W Illinois,18.30
Alabama St,18.10
Rice,18.50
Middle Tenn,19.20
Loyola Mymt,17.60
Alabama,18.20
Toledo,18.10
UC Irvine,19.10
Charlotte,19.30
SE Louisiana,18.00
IL-Chicago,18.80
Morgan St,18.20
U Mass,17.80
Kansas St,19.10
Geo Wshgtn,18.40
San Fransco,19.80
Belmont,18.40
Wofford,18.10
TX Christian,19.50
N Mex State,18.10
Akron,19.20
Michigan St,19.40
Texas State,19.90
Harvard,18.50
North Dakota,19.10
Stony Brook,18.40
Arkansas St,18.30
Radford,19.30
Sam Hous St,19.60
Washington,18.30
Tennessee,18.40
Maryland,18.30
Miami (FL),18.30
Virginia,20.40
W Virginia,18.40
Providence,18.30
Fordham,19.20
CS Fullerton,19.10
Georgetown,18.90
Florida Intl,20.80
LA Lafayette,18.90
Princeton,19.60
Vanderbilt,20.60
Cleveland St,19.90
Oklahoma St,19.80
Baylor,19.50
Northwestern,19.80
McNeese St,19.50
IUPUI,19.90
San Diego,18.30
Old Dominion,19.80
Seton Hall,19.60
E Illinois,20.00
Gonzaga,19.60
Nebraska,18.10
Siena,18.60
Hampton,20.70
Grambling St,20.90
Hartford,18.30
Abilene Christian,20.70
AR Lit Rock,20.50
Campbell,20.20
Navy,19.70
Wagner,20.00
Sac State,19.80
LIU-Brooklyn,19.80
Ark Pine Bl,20.10
Miss State,21.00
Davidson,19.10
Liberty,20.40
N Hampshire,21.60
Gard-Webb,20.20
Utah,20.50
Canisius,20.30
Marquette,19.10
Southern,19.70
Tulane,20.10
Lg Beach St,20.20
Kentucky,19.20
Oakland,19.10
Missouri St,18.60
Grand Canyon,21.30
Louisville,18.10
F Dickinson,20.20
N Kentucky,20.00
LA Tech,20.00
NW State,20.60
Richmond,19.80
S Illinois,20.40
TX-San Ant,19.80
St Johns,20.40
Maine,20.20
Butler,20.30
Fairfield,21.80
Cincinnati,19.20
TX-Pan Am,21.70
E Kentucky,19.10
Boston Col,20.80
San Diego St,19.70
Marshall,18.80
Texas,18.60
Alab A&M,20.60
Quinnipiac,21.10
E Carolina,21.40
Purdue,20.10
Oregon St,20.00
S Car State,21.10
Houston Bap,18.90
LA Monroe,20.50
Indiana,21.10
Notre Dame,18.60
Saint Louis,19.70
Brown,19.60
Utah Val St,21.20
New Orleans,21.10
Penn State,21.10
NC-Grnsboro,20.80
Kansas,21.60
Temple,19.50
Detroit,20.60
Houston,19.60
Duquesne,21.00
Lipscomb,19.20
Jksnville St,21.00
WI-Milwkee,19.40
Army,22.20
UC Davis,20.90
Marist,20.20
Illinois,19.30
Longwood,19.80
Cornell,21.50
Hofstra,21.60
Dartmouth,21.40
Fresno St,19.20
Northeastrn,21.10
N Florida,20.10
Colgate,22.80
Bowling Grn,20.60
Binghamton,21.10
Arizona,20.80
N Iowa,20.10
Col Charlestn,19.70
VA Military,21.10
Buffalo,21.20
Kent State,19.70
W Michigan,21.00
Central Conn,22.50
Charl South,22.30
Florida St,20.00
UNLV,21.00
Evansville,21.60
NC Central,22.50
Minnesota,21.10
Wyoming,19.00
NC-Asheville,21.90
Illinois St,20.90
Howard,21.20
Sacred Hrt,22.00
CS Bakersfld,21.20
Towson,21.60
Beth-Cook,22.20
Georgia,20.10
S Alabama,21.50
Clemson,22.80
Rutgers,20.80
Winthrop,20.30
Drexel,21.70
St Bonavent,19.90
E Michigan,22.50
UMKC,21.90
Stanford,21.60
Wichita St,21.90
E Washingtn,20.80
Morehead St,21.60
Ball State,21.20
N Colorado,22.50
St Peters,21.50
GA Tech,21.00
SE Missouri,21.50
Nicholls St,21.90
VA Tech,21.10
Murray St,21.50
South Dakota,22.60
Oregon,20.60
Ohio,22.50
Montana St,20.50
Nevada,21.40
TX A&M-CC,22.00
Fla Gulf Cst,21.70
DePaul,21.40
Dayton,21.50
Utah State,21.70
Denver,21.90
Colorado,20.90
E Tenn St,21.50
Xavier,22.00
N Dakota St,21.80
U Penn,22.50
Pacific,23.50
W Carolina,22.60
Furman,20.70
NJIT,23.10
Iowa State,21.10
UAB,20.60
Bradley,22.30
Tulsa,21.70
Bryant,22.50
Maryland BC,21.30
Iona,21.50
Maryland ES,21.20
La Salle,21.90
Rider,21.60
Niagara,23.10
High Point,22.10
Valparaiso,21.00
S Utah,22.20
Pittsburgh,22.40
Massachusetts Lowell,22.30
Pepperdine,22.40
Lehigh,23.30
Youngs St,21.70
TX El Paso,23.10
Drake,21.70
Creighton,21.50
North Texas,23.00
Wright State,22.20
Texas Tech,21.20
Missouri,22.60
Arkansas,21.50
UC Riverside,21.80
W Kentucky,23.30
TN Tech,21.70
Villanova,21.10
Holy Cross,22.10
James Mad,21.40
Wash State,21.90
Jacksonville,23.50
NC State,20.60
Citadel,23.00
Memphis,22.10
New Mexico,22.50
Texas A&M,23.50
Connecticut,21.90
Geo Mason,24.30
Oklahoma,23.50
USC,24.50
N Illinois,20.40
Portland St,23.30
TN State,24.10
Yale,23.90
Albany,23.40
Oral Roberts,23.50
Wake Forest,23.60
Norfolk St,21.80
Delaware,23.10
Coppin State,24.80
Troy,23.60
Colorado St,23.30
N Arizona,23.20
LSU,22.30
N Carolina,22.60
Boston U,21.50
Miss Val St,23.70
Monmouth,21.70
Stetson,23.20
S Florida,25.10
Central FL,22.40
SC Upstate,24.50
Idaho State,22.60
UCLA,24.30
Auburn,23.10
Iowa,22.90
NC A&T,23.30
Portland,23.90
Miami (OH),24.30
Idaho,22.80
Austin Peay,24.40
WI-Grn Bay,24.10
GA Southern,23.90
Mississippi,23.90
S Mississippi,24.20
Mercer,22.80
St Fran (PA),23.70
Ohio State,25.20
Elon,24.10
Delaware St,25.60
Neb Omaha,24.50
BYU,22.90
UCSB,25.10
Syracuse,21.80
S Methodist,24.10
Wm & Mary,24.80
Florida A&M,27.80
Presbyterian,25.60
Samford,26.10
Arizona St,26.10
Central Mich,24.40
IPFW,26.10
TX-Arlington,24.50
Lafayette,26.10
Columbia,25.10
Georgia St,25.90
St Josephs,26.10
TN Martin,26.00
Seattle,28.20
Chicago St,27.10
Air Force,28.30
Central Ark,28.80
Coastal Car,28.50
S Dakota St,27.40
Savannah St,32.00
