Team,Shots
Arizona St,60.80
Incarnate Word,63.30
Iowa State,61.70
Washington,61.20
Elon,59.90
Samford,63.20
Wyoming,61.00
Iona,62.10
Quinnipiac,62.00
USC,64.20
Toledo,63.00
Minnesota,59.80
St Fran (PA),61.10
Utah Val St,62.50
Neb Omaha,64.00
Niagara,63.20
Austin Peay,64.50
SC Upstate,65.20
Central Ark,62.80
BYU,60.80
Youngs St,65.60
NC State,64.00
WI-Grn Bay,63.30
IL-Chicago,64.60
Iowa,62.60
Citadel,67.50
Stetson,66.40
UCLA,63.90
Marshall,66.50
Central Mich,67.80
Savannah St,73.10
