Team,Shots
Villanova,13.80
St Marys,13.30
S Methodist,14.10
Central FL,14.90
Purdue,16.70
N Iowa,15.10
Clemson,15.70
Wisconsin,16.00
Vermont,16.50
W Kentucky,14.80
Holy Cross,15.60
Michigan,17.10
USC,15.70
St Fran (PA),16.10
St Peters,15.80
Oregon,17.20
Notre Dame,16.90
Geo Wshgtn,16.70
Yale,17.70
LA Tech,18.40
Gonzaga,16.20
Miami (FL),17.90
Iowa State,19.10
E Carolina,16.40
Cincinnati,18.40
Princeton,16.10
Pittsburgh,16.40
NC Central,16.60
Virginia,18.20
Lehigh,17.50
Elon,17.10
N Hampshire,16.40
VA Tech,15.90
S Dakota St,17.10
Texas A&M,20.10
Albany,17.70
Arizona,18.90
Providence,19.40
WI-Milwkee,17.20
NC-Asheville,16.90
Baylor,19.70
UCLA,18.90
Illinois,19.10
Wash State,18.00
GA Tech,20.50
Geo Mason,17.60
UAB,18.50
Radford,18.40
Toledo,19.90
Nevada,18.40
Pepperdine,18.50
Creighton,19.50
UNLV,19.20
Iowa,18.10
Ohio State,21.00
Texas,17.50
Syracuse,19.30
Col Charlestn,17.80
Northeastrn,18.60
Vanderbilt,16.80
Oakland,18.60
Loyola-Chi,21.80
Hofstra,19.00
Kansas St,18.90
N Kentucky,19.00
Rutgers,20.60
Lafayette,16.60
Dartmouth,16.30
TX Christian,20.70
Portland,18.70
San Diego St,19.20
Weber State,20.80
UCSB,19.20
Minnesota,19.10
Santa Clara,19.40
Binghamton,17.20
Utah,19.50
Illinois St,19.00
Grand Canyon,21.10
S Illinois,19.60
N Dakota St,18.50
Missouri St,22.10
Duke,19.50
Arizona St,17.90
Connecticut,20.70
Youngs St,18.90
High Point,19.50
N Carolina,21.10
Air Force,21.20
California,21.70
Drake,18.10
Belmont,19.00
Austin Peay,18.90
U Penn,20.60
Tulsa,21.30
Bucknell,18.40
Texas State,19.50
Temple,20.90
Penn State,19.70
Texas Tech,21.20
St Josephs,19.20
Mt St Marys,18.50
Colorado St,19.90
Xavier,22.30
Loyola-MD,19.50
TN Martin,19.70
Maryland,21.70
Kansas,21.00
Navy,18.80
Valparaiso,21.90
Akron,20.50
NC-Grnsboro,17.80
La Salle,22.60
Central Conn,17.70
S Mississippi,19.80
Jksnville St,18.90
UC Davis,20.70
San Fransco,19.90
Furman,21.10
Dayton,22.00
Colorado,19.80
SC Upstate,19.40
TX Southern,21.00
NC State,20.10
South Dakota,20.30
Cornell,20.90
LA Monroe,20.50
Troy,18.90
Nebraska,23.10
Houston,19.10
Mercer,21.90
Memphis,22.50
Sac State,20.30
W Michigan,20.40
Niagara,19.60
UC Riverside,18.50
Davidson,18.90
Maine,21.30
N Arizona,20.70
Oral Roberts,20.90
New Orleans,20.30
Florida,21.00
Fairfield,20.90
Longwood,20.40
Old Dominion,23.30
Wichita St,20.20
Middle Tenn,19.70
Sacred Hrt,19.80
Canisius,21.10
Ohio,22.60
Utah State,19.50
Northwestern,21.40
Chattanooga,22.20
San Diego,21.00
Duquesne,20.50
N Colorado,20.40
BYU,20.20
Army,20.80
Fla Gulf Cst,21.70
Columbia,20.60
Butler,20.00
Bowling Grn,22.70
Coastal Car,22.50
Alab A&M,20.20
Presbyterian,21.80
Oklahoma,21.30
Idaho State,20.90
N Mex State,22.20
Kent State,20.60
IPFW,22.00
Central Ark,20.50
Samford,20.60
Liberty,23.90
Michigan St,21.40
Hartford,21.20
Seton Hall,21.80
Florida Intl,20.20
Nicholls St,21.10
Winthrop,23.10
TX-Arlington,20.90
NJIT,20.80
Georgia,23.40
Richmond,21.10
Florida A&M,19.70
Hawaii,19.50
Stanford,20.80
James Mad,23.60
Howard,22.00
WI-Grn Bay,21.60
Chicago St,20.50
Jacksonville,18.80
LIU-Brooklyn,21.40
Iona,22.80
Saint Louis,19.90
AR Lit Rock,22.20
Colgate,20.90
Marquette,22.10
IL-Chicago,22.20
Boston U,22.30
TX-San Ant,22.40
North Texas,24.60
Siena,22.90
Kentucky,23.80
GA Southern,22.90
Kennesaw St,22.50
American,21.70
E Tenn St,21.10
Wright State,22.60
Seattle,22.10
Wagner,23.30
Fla Atlantic,22.80
SE Missouri,21.90
Stetson,21.10
Marshall,23.90
Stony Brook,21.90
Neb Omaha,21.10
Fordham,23.70
Wofford,21.90
LA Lafayette,20.60
