Team,Shots
New Mexico,24.60
TX El Paso,23.50
Wm & Mary,21.70
N Florida,21.90
Washington,22.90
Brown,23.60
Campbell,22.70
SE Louisiana,23.20
NC-Wilmgton,23.20
VCU,23.90
Harvard,20.90
Rider,22.30
DePaul,22.40
Indiana,24.50
Miss State,24.30
Florida St,23.50
Portland St,23.80
Charlotte,22.90
Monmouth,22.60
Wake Forest,22.70
Alabama,25.80
Delaware,23.70
Marist,22.40
Oregon St,21.80
Denver,22.40
N Illinois,23.60
Pacific,21.80
Rice,23.00
Houston Bap,26.70
W Virginia,22.80
Grambling St,22.00
Louisville,25.10
Delaware St,21.90
Evansville,24.00
NC A&T,22.80
Bryant,21.40
Georgia St,25.10
Mississippi,23.40
Cal Poly,22.70
Utah Val St,22.70
E Washingtn,24.40
TN Tech,25.10
Lg Beach St,23.20
Maryland BC,22.10
LSU,21.50
Central Mich,25.40
Miss Val St,21.30
Murray St,25.40
Ball State,23.50
San Jose St,23.90
Cleveland St,22.10
S Alabama,22.50
Southern,23.30
VA Military,23.90
Alcorn State,22.30
Miami (OH),24.60
Boston Col,23.80
E Illinois,25.00
Rob Morris,23.10
Savannah St,23.00
Lamar,24.50
Loyola Mymt,22.80
Arkansas St,26.80
Bradley,25.30
TX A&M-CC,23.50
North Dakota,24.20
S Car State,23.50
Georgetown,23.40
UC Irvine,22.70
Massachusetts Lowell,24.60
Coppin State,24.30
S Florida,25.20
Ste F Austin,25.10
Norfolk St,24.70
Maryland ES,22.60
Charl South,24.80
Gard-Webb,23.20
St Bonavent,25.50
E Kentucky,24.90
St Johns,25.40
Arkansas,23.90
Morgan St,24.00
Morehead St,22.60
NW State,23.90
Tulane,25.30
CS Fullerton,25.50
Beth-Cook,25.80
Drexel,24.30
Abilene Christian,25.00
Quinnipiac,23.40
Auburn,23.50
McNeese St,24.40
Incarnate Word,25.10
Montana,25.80
Boise State,26.40
Missouri,28.90
Hampton,26.70
W Illinois,24.90
Rhode Island,25.40
Idaho,25.90
IUPUI,25.80
S Carolina,26.40
Alabama St,25.30
Jackson St,26.70
Tennessee,26.00
CS Bakersfld,25.70
F Dickinson,25.50
Indiana St,27.90
W Carolina,24.40
UMKC,25.60
Fresno St,27.30
SIU Edward,24.80
Cal St Nrdge,25.80
Towson,26.40
St Fran (NY),25.50
App State,27.40
TN State,27.10
U Mass,29.40
Oklahoma St,28.60
Buffalo,27.40
Sam Hous St,26.40
Wyoming,27.60
Prairie View,27.60
Lipscomb,29.20
Citadel,29.10
Detroit,31.70
E Michigan,28.40
Montana St,30.20
Manhattan,31.90
Ark Pine Bl,31.10
S Utah,29.30
TX-Pan Am,30.80
