Team,Shooting
Notre Dame,0.7860
Villanova,0.8030
Central Mich,0.7660
Wofford,0.7610
Oklahoma St,0.7670
Mercer,0.7460
Marquette,0.7890
Valparaiso,0.7430
Vanderbilt,0.7720
Michigan,0.7610
Wake Forest,0.7830
F Dickinson,0.7730
Belmont,0.7770
S Dakota St,0.7710
Iona,0.7690
Lehigh,0.7510
High Point,0.7810
St Bonavent,0.7680
La Salle,0.7330
E Washingtn,0.7660
Oral Roberts,0.7440
Purdue,0.7690
Albany,0.7650
Arkansas,0.7720
Wright State,0.7490
Duke,0.7750
Brown,0.7490
Arizona,0.7420
Georgia,0.7510
Monmouth,0.7650
Oakland,0.7160
Drake,0.7110
Florida Intl,0.7580
Neb Omaha,0.7580
Wash State,0.7750
Davidson,0.7590
Montana,0.7670
Harvard,0.7900
Northwestern,0.7580
Geo Wshgtn,0.7700
Niagara,0.7320
Mississippi,0.7370
Arizona St,0.7450
Geo Mason,0.7490
E Illinois,0.7940
Campbell,0.7160
St Marys,0.7490
New Mexico,0.7450
Charlotte,0.7170
UCLA,0.7580
Penn State,0.7350
Citadel,0.7530
Santa Clara,0.7350
Murray St,0.7400
Samford,0.7410
Col Charlestn,0.7560
Liberty,0.7480
S Utah,0.7390
Cal St Nrdge,0.7400
Maryland BC,0.7390
SE Missouri,0.7470
Butler,0.7150
Portland,0.7830
Rice,0.7400
USC,0.7410
Yale,0.7350
Morehead St,0.7140
Nicholls St,0.7180
Gonzaga,0.7530
Princeton,0.7070
AR Lit Rock,0.7350
Wyoming,0.7340
DePaul,0.7160
Syracuse,0.7790
N Iowa,0.7140
Massachusetts Lowell,0.7360
Canisius,0.7490
VA Tech,0.7810
Denver,0.7240
Wichita St,0.7270
Georgetown,0.7350
TX Southern,0.7210
Texas Tech,0.7040
Pittsburgh,0.7260
Marshall,0.7120
BYU,0.7740
Montana St,0.7290
North Dakota,0.7250
Weber State,0.7080
Longwood,0.6940
Fordham,0.7110
UAB,0.7200
Manhattan,0.7120
Tulsa,0.7220
Colorado St,0.7330
Clemson,0.7040
Indiana,0.7180
Lipscomb,0.7120
IPFW,0.7140
Tennessee,0.7460
Florida,0.7290
Lg Beach St,0.7430
St Johns,0.7070
Marist,0.7080
Ball State,0.7460
Temple,0.7070
TX-Pan Am,0.7170
Jacksonville,0.6900
N Hampshire,0.7350
Oklahoma,0.7350
E Michigan,0.7050
Stony Brook,0.7090
Hawaii,0.7070
Bryant,0.7110
Hampton,0.6910
TX A&M-CC,0.7030
Houston Bap,0.7100
Troy,0.7260
Winthrop,0.7150
Miami (FL),0.7220
Central Ark,0.7190
Kent State,0.6770
Austin Peay,0.7160
Boise State,0.7080
Tulane,0.7020
Jksnville St,0.7070
Air Force,0.7270
Connecticut,0.7250
San Diego,0.7250
James Mad,0.7220
TN Tech,0.7340
NC-Grnsboro,0.7000
Morgan St,0.7440
Houston,0.6960
Chattanooga,0.7130
W Michigan,0.7190
UMKC,0.7090
Richmond,0.6990
E Kentucky,0.7140
Baylor,0.7010
St Peters,0.6930
Evansville,0.7220
Columbia,0.7150
Lafayette,0.7250
Siena,0.7250
Idaho,0.6930
S Mississippi,0.7190
New Orleans,0.6930
Dartmouth,0.7050
N Mex State,0.7370
Chicago St,0.6820
W Illinois,0.7220
Virginia,0.6790
IL-Chicago,0.6990
Loyola-Chi,0.7360
LA Tech,0.6920
Minnesota,0.7000
Utah Val St,0.7110
Nebraska,0.7120
N Carolina,0.7480
N Dakota St,0.6500
Ste F Austin,0.7160
Oregon,0.6820
VCU,0.7020
Fla Atlantic,0.7120
Seattle,0.7210
Utah State,0.6780
NJIT,0.6680
Nevada,0.7000
Cal Poly,0.7020
Hartford,0.7080
TN Martin,0.6980
St Fran (PA),0.6840
South Dakota,0.7160
Missouri St,0.7500
Sacred Hrt,0.6780
San Diego St,0.7020
UC Riverside,0.7180
Maryland,0.6930
Middle Tenn,0.7080
Vermont,0.7000
NC State,0.6950
Iowa,0.7060
Colorado,0.7560
CS Fullerton,0.7100
San Jose St,0.6880
Prairie View,0.7020
Furman,0.7090
S Car State,0.6920
Cornell,0.7020
E Tenn St,0.6890
Miami (OH),0.7180
Kennesaw St,0.6660
Elon,0.6150
Kentucky,0.6870
S Methodist,0.7010
TN State,0.6930
UNLV,0.7090
LSU,0.6950
Southern,0.6870
Incarnate Word,0.6760
Iowa State,0.7030
Boston U,0.6630
LA Lafayette,0.7100
NW State,0.6640
Fla Gulf Cst,0.7190
S Illinois,0.6690
UC Irvine,0.6940
WI-Grn Bay,0.6840
Binghamton,0.6990
Holy Cross,0.6830
NC Central,0.6820
S Carolina,0.6670
Florida St,0.6360
Loyola-MD,0.6930
VA Military,0.6750
Dayton,0.6860
TX-Arlington,0.6830
Providence,0.6900
Wagner,0.6710
McNeese St,0.6680
Toledo,0.6800
Kansas St,0.7040
NC-Wilmgton,0.6960
Ohio,0.6730
TX Christian,0.6950
Xavier,0.6840
Illinois,0.6580
Wm & Mary,0.6850
Miss State,0.7440
LIU-Brooklyn,0.7120
Buffalo,0.6740
SE Louisiana,0.6910
Delaware,0.6940
Sam Hous St,0.7060
Louisville,0.6730
Cleveland St,0.6930
Creighton,0.6920
Quinnipiac,0.6790
NC-Asheville,0.6800
Missouri,0.7150
Detroit,0.6990
Stanford,0.7120
Memphis,0.7070
Towson,0.6700
Ohio State,0.6870
Utah,0.6720
Fairfield,0.6860
N Arizona,0.6990
Hofstra,0.6720
N Illinois,0.6690
Northeastrn,0.6990
Indiana St,0.7100
IUPUI,0.6860
Cincinnati,0.7050
Boston Col,0.6620
Maryland ES,0.6750
Pacific,0.6730
Idaho State,0.6450
Bucknell,0.6690
Fresno St,0.6740
Norfolk St,0.6670
Lamar,0.6710
Colgate,0.6670
W Virginia,0.6870
Akron,0.6790
NC A&T,0.6610
SIU Edward,0.6990
Bradley,0.6820
GA Tech,0.6700
Charl South,0.6720
Duquesne,0.6920
N Kentucky,0.6580
Jackson St,0.6490
Youngs St,0.7170
App State,0.6730
Mt St Marys,0.6910
GA Southern,0.6750
Presbyterian,0.6840
LA Monroe,0.6680
Auburn,0.6760
Rider,0.6670
W Kentucky,0.6310
Alab A&M,0.6770
TX-San Ant,0.6270
Drexel,0.6750
Kansas,0.6820
WI-Milwkee,0.6500
S Alabama,0.6530
Michigan St,0.6410
Saint Louis,0.6230
California,0.6480
Delaware St,0.6450
Bowling Grn,0.6790
Stetson,0.6440
TX El Paso,0.6850
UC Davis,0.6430
Grand Canyon,0.6510
Beth-Cook,0.6630
Sac State,0.6390
Oregon St,0.6320
Illinois St,0.6630
U Mass,0.6900
Radford,0.6640
Central FL,0.6260
Army,0.6770
W Carolina,0.6310
Portland St,0.6810
Grambling St,0.6520
E Carolina,0.6630
Florida A&M,0.6630
U Penn,0.6470
S Florida,0.6930
Alcorn State,0.6640
Rhode Island,0.6530
Washington,0.6360
Howard,0.6180
Coastal Car,0.6520
Maine,0.6390
Texas,0.6040
Miss Val St,0.6150
St Josephs,0.6740
Alabama,0.6850
Texas A&M,0.6640
Ark Pine Bl,0.6380
N Florida,0.6580
Texas State,0.6460
St Fran (NY),0.6690
Rob Morris,0.6750
Savannah St,0.6450
North Texas,0.5820
Abilene Christian,0.6560
Georgia St,0.6490
Seton Hall,0.6590
Old Dominion,0.6420
Wisconsin,0.6550
SC Upstate,0.6510
Pepperdine,0.6340
Navy,0.6570
Coppin State,0.6080
Arkansas St,0.6440
Gard-Webb,0.6530
Alabama St,0.6280
UCSB,0.6290
CS Bakersfld,0.6080
San Fransco,0.6500
Rutgers,0.6110
Central Conn,0.6440
American,0.6250
Loyola Mymt,0.5860
N Colorado,0.6010
