Team,Shooting
NC Central,0.642
N Hampshire,0.645
BYU,0.669
TX-Arlington,0.673
Morgan St,0.661
Bucknell,0.659
Gonzaga,0.681
Norfolk St,0.678
Marshall,0.677
Alcorn State,0.665
Syracuse,0.665
Mt St Marys,0.685
WI-Grn Bay,0.64
Col Charlestn,0.672
S Illinois,0.659
Ohio State,0.659
Utah Val St,0.689
Northwestern,0.673
Delaware,0.672
Abilene Christian,0.688
Ste F Austin,0.672
Hawaii,0.647
VA Military,0.655
Alabama,0.686
Kentucky,0.642
Savannah St,0.676
Beth-Cook,0.658
UCLA,0.683
Fairfield,0.674
NW State,0.653
High Point,0.685
GA Southern,0.667
Southern,0.664
Providence,0.712
San Fransco,0.704
Jacksonville,0.648
W Virginia,0.671
N Illinois,0.669
Lafayette,0.651
NC-Asheville,0.659
TX-San Ant,0.707
N Mex State,0.706
LA Monroe,0.681
N Florida,0.695
UMKC,0.654
Kennesaw St,0.67
Creighton,0.693
Alabama St,0.696
Buffalo,0.688
Alab A&M,0.669
Michigan,0.642
St Fran (NY),0.671
Missouri,0.679
TX Southern,0.704
Utah,0.707
California,0.686
Harvard,0.682
Colorado St,0.661
Cleveland St,0.698
Oklahoma,0.68
TX El Paso,0.707
Radford,0.666
Minnesota,0.702
Iowa,0.677
Florida A&M,0.717
Arkansas St,0.699
San Diego,0.701
Boston U,0.678
Toledo,0.696
S Florida,0.689
Binghamton,0.695
TX-Pan Am,0.661
Ohio,0.711
North Dakota,0.677
Nevada,0.678
Fla Gulf Cst,0.73
St Marys,0.705
LA Tech,0.695
CS Bakersfld,0.688
Central Conn,0.691
Santa Clara,0.661
Memphis,0.74
Columbia,0.66
S Methodist,0.679
Towson,0.72
Army,0.699
UNLV,0.716
Nicholls St,0.697
Colgate,0.728
Arizona,0.716
Davidson,0.7
App State,0.712
Grambling St,0.68
New Mexico,0.723
Geo Mason,0.687
Navy,0.717
Coppin State,0.682
St Peters,0.704
TN State,0.674
Sacred Hrt,0.657
Louisville,0.71
Stetson,0.678
New Orleans,0.699
Drexel,0.672
St Bonavent,0.695
Valparaiso,0.695
Hampton,0.689
Rob Morris,0.684
Prairie View,0.685
N Arizona,0.685
VCU,0.719
TX A&M-CC,0.687
Gard-Webb,0.73
Portland,0.682
Mississippi,0.684
Fla Atlantic,0.684
Wichita St,0.73
Indiana St,0.663
Hartford,0.711
Central Ark,0.7
LA Lafayette,0.681
Illinois St,0.678
Wash State,0.706
UCSB,0.691
Lipscomb,0.69
Coastal Car,0.683
Iona,0.687
Northeastrn,0.699
Utah State,0.744
Oakland,0.739
F Dickinson,0.682
Wagner,0.67
Tennessee,0.679
Stanford,0.69
Drake,0.708
Marquette,0.739
Saint Louis,0.726
GA Tech,0.764
Nebraska,0.723
Longwood,0.703
Georgia,0.688
Grand Canyon,0.752
UC Irvine,0.702
Howard,0.705
Stony Brook,0.726
W Carolina,0.704
S Mississippi,0.711
Lg Beach St,0.722
Georgetown,0.726
Xavier,0.687
Arkansas,0.718
Pepperdine,0.701
Princeton,0.69
Duke,0.708
UAB,0.732
Detroit,0.714
Pacific,0.719
Butler,0.697
TX Christian,0.761
Connecticut,0.734
St Johns,0.71
Maryland,0.707
S Alabama,0.712
Kent State,0.693
Montana,0.696
Iowa State,0.717
Oral Roberts,0.699
Chicago St,0.701
Tulane,0.712
Maryland ES,0.704
Vanderbilt,0.703
U Mass,0.701
Oregon St,0.727
American,0.705
Virginia,0.701
San Diego St,0.699
Akron,0.746
Miss Val St,0.686
Tulsa,0.688
Central Mich,0.722
Charlotte,0.724
N Dakota St,0.682
Old Dominion,0.718
E Illinois,0.683
Ark Pine Bl,0.722
Indiana,0.755
Florida,0.69
Central FL,0.744
Youngs St,0.7
W Kentucky,0.692
Duquesne,0.714
NC-Wilmgton,0.731
W Michigan,0.705
LIU-Brooklyn,0.675
TN Martin,0.727
Vermont,0.739
Rice,0.726
Middle Tenn,0.717
Rhode Island,0.71
Monmouth,0.704
McNeese St,0.678
UC Davis,0.7
Dartmouth,0.731
Jackson St,0.721
Georgia St,0.71
Evansville,0.711
SE Louisiana,0.727
Pittsburgh,0.714
N Kentucky,0.679
Sac State,0.712
Loyola-Chi,0.707
Miss State,0.726
Dayton,0.676
Furman,0.755
Albany,0.699
Brown,0.695
Kansas,0.697
SE Missouri,0.717
Montana St,0.726
S Carolina,0.716
Manhattan,0.695
Citadel,0.717
Arizona St,0.721
Elon,0.691
Wm & Mary,0.729
Fresno St,0.726
Villanova,0.687
Purdue,0.733
Wright State,0.726
Bradley,0.75
NJIT,0.749
Texas Tech,0.783
Penn State,0.701
S Utah,0.73
USC,0.729
Murray St,0.712
Holy Cross,0.721
N Colorado,0.697
Florida St,0.751
VA Tech,0.735
Fordham,0.718
Oregon,0.727
Texas,0.729
Presbyterian,0.722
NC State,0.722
Air Force,0.73
Morehead St,0.724
E Washingtn,0.739
Colorado,0.734
James Mad,0.741
Liberty,0.726
Seton Hall,0.712
E Michigan,0.695
NC A&T,0.739
S Car State,0.737
LSU,0.73
Loyola-MD,0.722
CS Fullerton,0.728
Idaho State,0.703
Campbell,0.701
Washington,0.709
Kansas St,0.711
Loyola Mymt,0.727
Houston,0.738
Jksnville St,0.722
N Carolina,0.749
Auburn,0.69
Siena,0.718
Michigan St,0.731
AR Lit Rock,0.692
Cal Poly,0.708
Ball State,0.722
Illinois,0.741
Maine,0.731
Oklahoma St,0.729
UC Riverside,0.74
WI-Milwkee,0.696
Wake Forest,0.735
Portland St,0.75
Maryland BC,0.712
Richmond,0.736
Troy,0.72
Baylor,0.742
Samford,0.732
Winthrop,0.713
Yale,0.741
La Salle,0.737
E Tenn St,0.713
Hofstra,0.728
Seattle,0.729
E Carolina,0.748
Lamar,0.732
St Fran (PA),0.744
Rutgers,0.706
Florida Intl,0.728
Geo Wshgtn,0.761
Temple,0.71
Wyoming,0.722
IL-Chicago,0.733
Delaware St,0.713
Sam Hous St,0.743
S Dakota St,0.739
U Penn,0.726
Cal St Nrdge,0.734
Niagara,0.756
St Josephs,0.696
Texas A&M,0.744
SC Upstate,0.714
Notre Dame,0.727
DePaul,0.719
Texas State,0.715
Canisius,0.722
SIU Edward,0.727
Wofford,0.737
Incarnate Word,0.724
W Illinois,0.743
Bowling Grn,0.739
Austin Peay,0.741
Boise State,0.749
Massachusetts Lowell,0.74
Lehigh,0.73
Miami (FL),0.752
Miami (OH),0.756
South Dakota,0.756
Wisconsin,0.777
E Kentucky,0.748
Cincinnati,0.732
Marist,0.723
Neb Omaha,0.732
Quinnipiac,0.773
Charl South,0.741
Denver,0.742
TN Tech,0.726
Cornell,0.735
Bryant,0.769
Rider,0.767
Weber State,0.757
IPFW,0.724
Houston Bap,0.738
San Jose St,0.749
Belmont,0.751
Mercer,0.761
NC-Grnsboro,0.758
N Iowa,0.746
North Texas,0.746
Idaho,0.743
Missouri St,0.76
Chattanooga,0.751
IUPUI,0.755
Boston Col,0.745
Clemson,0.769
