Team,Shooting
NW State,0.5400
Oklahoma St,0.5210
Florida A&M,0.5460
Xavier,0.5240
Delaware St,0.5450
Wash State,0.5320
Florida Intl,0.5100
Stetson,0.5110
Drexel,0.5340
TN Martin,0.5460
Kennesaw St,0.5290
LSU,0.5490
Lamar,0.5670
Neb Omaha,0.5200
UMKC,0.5510
Pepperdine,0.5190
Boston Col,0.5640
Charl South,0.5510
UCSB,0.5190
Bowling Grn,0.5600
Presbyterian,0.5240
Youngs St,0.5220
Alab A&M,0.5560
Dartmouth,0.5070
TX-Pan Am,0.5410
DePaul,0.5660
NJIT,0.5440
LA Lafayette,0.5300
Central Mich,0.5490
W Michigan,0.5540
WI-Milwkee,0.5290
Loyola-MD,0.5590
SIU Edward,0.5480
IUPUI,0.5500
VA Military,0.5610
NC-Wilmgton,0.5460
S Utah,0.5190
N Arizona,0.5640
Idaho State,0.5660
Ark Pine Bl,0.5530
Air Force,0.5450
Wofford,0.5500
Beth-Cook,0.5560
Grambling St,0.5650
Holy Cross,0.5540
Coppin State,0.5640
SE Missouri,0.5790
Chicago St,0.5450
Canisius,0.5660
S Car State,0.5830
Savannah St,0.5760
Arizona St,0.5810
Miss Val St,0.5760
Portland St,0.5730
Jacksonville,0.5450
Austin Peay,0.5670
Detroit,0.6130
Citadel,0.5710
Brown,0.6040
