Team,Shots
Weber State,54.70
Loyola-MD,52.60
WI-Milwkee,52.20
NC A&T,53.40
Virginia,53.40
Ark Pine Bl,52.10
Jksnville St,54.30
Portland,54.30
Alab A&M,55.30
Presbyterian,52.20
Abilene Christian,54.90
Ste F Austin,51.30
Texas State,53.70
N Hampshire,55.90
St Marys,52.40
St Peters,52.20
Campbell,53.70
Evansville,54.90
Central FL,53.20
Col Charlestn,52.40
Colgate,54.60
San Diego,52.30
Saint Louis,52.10
Oregon St,52.40
James Mad,52.60
Tulsa,51.60
Bradley,52.50
N Iowa,53.50
American,51.50
Liberty,51.70
Holy Cross,49.70
