Team,Shooting
Belmont,0.6040
Villanova,0.5890
UCLA,0.5810
Gonzaga,0.5990
Utah,0.5640
Creighton,0.5510
St Marys,0.5450
Michigan,0.5500
NC-Wilmgton,0.5390
Wm & Mary,0.5130
Akron,0.5260
Lipscomb,0.5460
Vermont,0.5720
Fla Gulf Cst,0.5460
E Tenn St,0.5220
Richmond,0.5520
Oregon,0.5210
VA Tech,0.5170
Bucknell,0.5340
Butler,0.4920
IPFW,0.5300
N Mex State,0.5350
Indiana,0.4780
Toledo,0.5410
TX-Arlington,0.5060
Florida St,0.4890
Duke,0.5160
Portland St,0.5290
Middle Tenn,0.5350
Cornell,0.5250
E Washingtn,0.5170
Furman,0.5190
Loyola-Chi,0.5130
TN Martin,0.5080
S Dakota St,0.5180
Kentucky,0.5180
Georgia St,0.5190
Lehigh,0.5300
U Mass,0.5280
Chattanooga,0.5060
Kansas,0.5280
Weber State,0.5300
Massachusetts Lowell,0.5220
Utah Val St,0.5150
NC Central,0.5110
SC Upstate,0.5420
Marquette,0.4950
San Fransco,0.5110
Baylor,0.5280
Purdue,0.4730
NC State,0.4910
Northeastrn,0.5080
Michigan St,0.4980
La Salle,0.5030
VCU,0.5000
Austin Peay,0.5140
Yale,0.5030
U Penn,0.5120
Cincinnati,0.4470
Texas A&M,0.5080
Denver,0.5250
TX A&M-CC,0.5040
TX Christian,0.5130
LA Tech,0.5060
Savannah St,0.4860
Texas Tech,0.4770
Xavier,0.5100
Davidson,0.5220
TX El Paso,0.5430
N Kentucky,0.4940
Wake Forest,0.5110
Oakland,0.5250
Marshall,0.4960
Georgetown,0.5220
Ball State,0.5110
Dayton,0.4790
American,0.4960
Fairfield,0.5180
Ohio State,0.4990
North Dakota,0.5070
LA Lafayette,0.4880
NC-Asheville,0.5020
Kansas St,0.5090
Boise State,0.5080
Buffalo,0.5130
S Methodist,0.4760
UAB,0.4890
Notre Dame,0.4930
Texas,0.5050
Harvard,0.4980
Iowa State,0.4900
New Orleans,0.4880
Winthrop,0.5250
Wisconsin,0.5000
N Carolina,0.5130
Memphis,0.5030
Sac State,0.4880
Arizona,0.4840
Troy,0.5220
Maryland,0.5190
Wichita St,0.4630
BYU,0.4930
Elon,0.4900
Canisius,0.5170
Jksnville St,0.5110
N Dakota St,0.4950
Maryland BC,0.5100
Army,0.4770
Abilene Christian,0.5010
N Florida,0.4900
New Mexico,0.4920
Rice,0.4780
Valparaiso,0.4900
Rhode Island,0.4890
N Colorado,0.4820
Syracuse,0.4550
Ste F Austin,0.5030
Wash State,0.4780
W Virginia,0.4760
CS Fullerton,0.4850
USC,0.4900
Miss State,0.4680
Albany,0.4970
Jacksonville,0.5140
James Mad,0.4910
Seattle,0.4910
Gard-Webb,0.4920
Princeton,0.4890
LSU,0.5000
Louisville,0.4880
Arkansas,0.4740
Siena,0.4830
Florida Intl,0.4980
Clemson,0.4680
TX Southern,0.4880
E Kentucky,0.4750
St Fran (PA),0.4750
Boston U,0.5150
Ohio,0.5070
Oklahoma St,0.4640
Seton Hall,0.4710
Florida,0.4910
Virginia,0.4910
NC-Grnsboro,0.5040
Utah State,0.4800
Texas State,0.5020
Wyoming,0.5010
Montana,0.4910
Miami (FL),0.4780
Stetson,0.4550
Marist,0.4970
Fresno St,0.4860
Miami (OH),0.5090
Liberty,0.4780
F Dickinson,0.4810
Colorado,0.5060
Lamar,0.4960
WI-Milwkee,0.4900
N Hampshire,0.4830
Arkansas St,0.4660
Longwood,0.4910
Campbell,0.4820
Pittsburgh,0.4990
Hofstra,0.4870
Mercer,0.4750
Washington,0.4520
Samford,0.4840
Mt St Marys,0.4580
GA Southern,0.4680
Wright State,0.4870
Cal St Nrdge,0.4840
Wofford,0.4660
Central FL,0.4760
Colgate,0.4950
Nevada,0.4800
Iowa,0.4560
Iona,0.4860
Holy Cross,0.4770
Towson,0.4860
Bryant,0.4870
Sacred Hrt,0.4920
Lafayette,0.5080
Boston Col,0.4690
Nicholls St,0.4870
South Dakota,0.4980
Providence,0.4560
Navy,0.4800
Brown,0.4810
S Alabama,0.4750
SE Missouri,0.4510
Youngs St,0.4650
Illinois,0.4730
Neb Omaha,0.4860
Illinois St,0.4900
