Team,Shooting
Loyola Mymt,0.4940
Geo Mason,0.4860
Col Charlestn,0.4980
Missouri St,0.4870
Northwestern,0.4640
Houston Bap,0.4730
Rider,0.4780
Alabama,0.4740
Arizona St,0.4700
Hawaii,0.4620
Kent State,0.4750
Murray St,0.4450
W Kentucky,0.4670
St Bonavent,0.4580
Drexel,0.4790
Auburn,0.4590
IUPUI,0.4790
Central Mich,0.4640
UC Irvine,0.4590
TN State,0.4800
SE Louisiana,0.4480
WI-Grn Bay,0.4790
Vanderbilt,0.4470
Duquesne,0.4520
Georgia,0.4710
Stanford,0.4550
W Michigan,0.4440
AR Lit Rock,0.4810
Idaho State,0.4630
VA Military,0.4790
Incarnate Word,0.4680
Dartmouth,0.4760
Detroit,0.4860
E Michigan,0.4780
TX-Pan Am,0.4770
Charl South,0.4740
Morehead St,0.4610
Santa Clara,0.4580
Alcorn State,0.4520
NW State,0.4790
Oral Roberts,0.4730
TN Tech,0.4690
S Illinois,0.4390
Citadel,0.4580
Monmouth,0.4790
Grand Canyon,0.4660
Delaware,0.4830
Coastal Car,0.4500
Houston,0.4760
NJIT,0.4640
Sam Hous St,0.4490
CS Bakersfld,0.4820
Montana St,0.4480
Kennesaw St,0.4770
San Jose St,0.4780
DePaul,0.4380
Southern,0.4690
UMKC,0.4710
St Johns,0.4550
Charlotte,0.4500
San Diego St,0.4350
Quinnipiac,0.4640
Fordham,0.4530
NC A&T,0.4610
Minnesota,0.4510
North Texas,0.4870
Evansville,0.4580
Tulsa,0.4460
Wagner,0.4740
Columbia,0.4860
S Car State,0.4470
Idaho,0.4780
IL-Chicago,0.4800
Binghamton,0.4410
LA Monroe,0.4490
LIU-Brooklyn,0.4790
California,0.4350
Temple,0.4580
Lg Beach St,0.4690
UC Davis,0.4580
Air Force,0.4480
Pepperdine,0.4590
St Peters,0.4890
Central Ark,0.4470
N Illinois,0.4520
Maryland ES,0.4380
GA Tech,0.4410
Grambling St,0.4530
Bowling Grn,0.4610
Cleveland St,0.4710
Colorado St,0.4420
Prairie View,0.4240
Mississippi,0.4440
Oregon St,0.4500
Manhattan,0.4510
App State,0.4750
Norfolk St,0.4510
McNeese St,0.4470
N Arizona,0.4700
Bradley,0.4520
Connecticut,0.4440
Tennessee,0.4640
Beth-Cook,0.4590
S Florida,0.4380
Stony Brook,0.4410
Indiana St,0.4260
St Josephs,0.4470
Oklahoma,0.4430
Alab A&M,0.4380
SIU Edward,0.4360
Fla Atlantic,0.4440
Penn State,0.4480
S Mississippi,0.4310
Drake,0.4520
Loyola-MD,0.4390
Hartford,0.4330
N Iowa,0.4210
Geo Wshgtn,0.4350
Nebraska,0.4400
Tulane,0.4080
Cal Poly,0.4510
W Illinois,0.4470
Hampton,0.4600
S Carolina,0.4510
Missouri,0.4410
San Diego,0.4640
Miss Val St,0.4240
UC Riverside,0.4180
Maine,0.4300
High Point,0.4440
Delaware St,0.4400
Florida A&M,0.4410
Central Conn,0.4400
Radford,0.4370
Old Dominion,0.4460
E Carolina,0.4270
Rutgers,0.4200
Alabama St,0.4140
Saint Louis,0.4290
Niagara,0.4370
Jackson St,0.4220
Rob Morris,0.4240
TX-San Ant,0.4370
UNLV,0.4230
E Illinois,0.4220
Howard,0.4170
Presbyterian,0.4170
Portland,0.4250
S Utah,0.4120
Pacific,0.4170
Ark Pine Bl,0.4120
Morgan St,0.4070
W Carolina,0.3910
UCSB,0.4070
Coppin State,0.3900
Chicago St,0.4030
St Fran (NY),0.3970
